id,name,party,sector,country
lk,Lars Klingbeil,SPD,Politik,Deutschland
uv,Ursula von der Leyen,CDU,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,linke,Politik,Deutschland
cs,Constanze Stelzenmüller,,Wissenschaften,USA
cli,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,,Wissenschaften,Deutschland
lm,Ljudmyla Melnyk,,Wissenschaften,Ukraike
kd,Kristina Dunz,,Journalismus,Deutschland
el,Egils Levits,,Politik,Lettland
ab,Annalena Baerbock,,Politik,Deutschland
ft,Frans Timmermans,,Politik,Deutschland
am,Andrij Melnyk,,Politik,Ukraine
al,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Bundeswehr,Deutschland
rh,Robert Habeck,grünen,Politik,Deutschland
cm,Claudia Major,,Wissenschaften,Deutschland
kp,Katja Petrowskaja,,Journalismus,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
cl,Christine Lambrecht,SPD,Politik,Deurtschland
sb,Stefanie Babst,,Wissenschaften,USA
ch,Christoph Heusgen,,Politik,Deutschland
mw,Marina Weisband,,Journalismus,Ukraine
500,,,,
501,,,,
502,,,,
503,,,,
504,,,,
SPD,,,,
FDP,,,,
grüne,,,,
linke,,,,
CDU,,,,
